a,b,c
off,off,on
on,on,on
off,off,off
on,on,on
on,on,off
on,off,off
off,off,off
off,off,on
on,on,off
off,on,on
off,off,off
off,off,off
off,on,on
on,off,on
on,on,off
off,off,off
off,off,off
off,off,off
off,off,off
on,on,off
on,off,off
on,off,off
on,off,off
on,off,off
on,on,on
on,off,off
off,off,on
off,off,off
on,off,off
on,on,off
off,off,off
on,off,off
on,on,on
on,on,on
off,off,off
off,off,off
on,off,off
on,on,on
on,on,on
off,off,off
on,on,on
on,off,off
on,off,off
off,on,on
on,off,on
on,off,off
off,off,off
on,on,on
off,on,on
on,off,on
off,off,off
on,on,on
off,off,on
off,off,off
off,on,on
on,on,on
on,on,on
on,off,on
off,on,on
on,on,on
on,off,off
off,off,off
on,off,off
on,on,on
on,off,off
on,off,off
off,on,off
on,on,on
off,off,off
off,on,on
off,on,off
on,on,on
on,off,on
on,off,off
off,off,on
on,on,off
on,on,on
on,off,off
off,off,off
on,on,off
on,off,off
on,on,on
off,on,on
off,off,off
off,on,on
off,off,on
off,off,off
off,off,off
on,off,off
on,off,on
on,off,off
on,on,on
off,on,on
on,off,off
on,on,on
off,on,on
on,off,off
off,on,on
on,on,on
off,off,off
on,on,on
off,off,off
on,off,off
on,off,off
off,off,off
off,on,off
on,on,on
on,on,on
on,on,on
off,on,off
on,off,on
on,on,on
on,on,off
off,off,off
on,on,on
off,off,off
on,on,off
on,off,off
off,off,off
off,on,off
on,on,on
off,off,off
on,on,off
on,off,off
off,on,on
off,off,off
on,on,on
off,on,on
off,on,off
on,on,on
on,on,on
on,on,on
off,on,on
on,off,off
off,off,off
on,on,on
on,on,off
on,on,on
off,off,off
on,on,on
off,off,on
off,off,off
on,on,on
on,off,off
off,off,on
off,off,off
off,off,off
on,on,on
off,off,off
off,off,off
off,on,on
off,on,on
off,off,on
off,on,off
on,off,off
off,on,off
on,off,off
on,off,on
on,off,off
off,off,on
off,off,off
on,on,on
on,off,on
on,off,off
on,off,off
on,on,on
on,on,on
on,off,off
off,off,off
off,on,off
on,off,off
on,off,off
off,on,on
off,off,off
off,off,on
on,on,on
off,off,off
on,on,off
on,off,off
on,on,on
off,on,on
off,on,off
on,off,on
on,off,off
on,off,off
on,on,off
on,on,on
on,off,off
on,off,off
off,off,off
on,off,on
off,off,off
on,off,on
off,on,on
off,on,on
on,off,off
off,off,off
on,off,off
off,on,on
off,on,on
off,off,off
on,off,off
off,off,on
on,off,off
off,off,off
on,on,on
on,off,off
on,off,off
on,off,on
on,off,off
off,on,on
off,off,off
off,off,off
on,on,on
off,off,off
on,on,off
on,off,off
on,on,on
on,off,off
on,on,off
on,off,off
on,off,off
on,off,off
on,off,off
off,off,off
off,off,off
on,on,on
off,off,off
off,off,off
off,off,off
on,on,off
off,on,on
on,off,off
on,on,on
off,off,on
off,on,on
on,off,off
off,off,on
off,on,on
off,off,off
off,on,on
on,on,off
on,on,off
off,on,on
on,off,on
on,off,on
on,on,on
off,off,off
off,on,on
off,off,on
off,off,on
on,off,off
on,on,on
off,off,off
on,on,on
off,off,off
off,on,on
on,on,on
on,off,off
off,off,off
off,off,on
on,on,on
off,off,off
on,on,off
off,on,on
off,on,on
on,off,off
on,off,off
off,on,off
on,on,on
off,off,off
on,on,off
on,on,on
on,off,on
off,on,on
off,on,on
on,off,on
on,on,on
on,on,on
on,on,on
off,off,on
off,off,off
on,off,off
on,off,off
off,on,on
off,off,off
off,off,off
off,on,off
off,off,off
off,off,off
off,off,on
off,off,off
on,on,on
on,off,off
off,off,off
on,on,on
off,off,off
off,on,off
on,off,on
off,off,off
off,off,off
on,off,on
off,off,off
on,on,on
on,on,on
off,on,on
on,off,off
on,on,on
off,off,off
off,off,on
off,off,on
on,off,off
off,off,off
off,off,off
off,off,off
off,off,off
on,on,on
on,off,off
off,on,off
on,on,on
on,on,on
on,off,off
on,off,off
on,on,on
off,off,off
off,off,off
on,on,off
on,off,off
off,on,on
on,off,off
off,on,on
off,on,off
off,on,on
on,on,on
off,off,on
off,on,on
off,off,off
on,on,on
on,on,off
off,off,off
on,off,off
off,on,on
off,on,off
on,on,on
on,on,on
on,off,off
on,off,off
off,off,off
on,on,on
off,on,on
on,on,on
off,off,off
off,off,off
on,off,off
off,on,off
off,off,on
off,off,off
on,on,off
on,off,off
off,off,off
on,off,on
on,on,on
on,on,on
on,on,off
on,on,on
on,off,off
on,off,off
off,on,off
on,off,off
off,off,off
on,on,off
on,off,off
off,on,on
on,on,on
off,off,off
on,off,off
on,off,off
off,off,off
off,on,off
on,on,on
off,off,off
on,on,off
on,on,off
off,on,on
on,off,off
on,off,off
off,off,off
off,on,off
on,off,off
on,off,off
on,off,off
on,on,on
off,off,off
on,off,off
on,on,on
on,on,on
off,on,on
off,on,on
on,on,on
on,off,off
on,off,off
on,on,on
off,off,on
on,on,on
off,off,off
on,off,on
on,off,off
off,on,off
on,on,on
on,on,off
off,on,on
on,off,off
on,on,on
off,off,on
off,on,off
on,off,on
on,off,off
off,off,on
off,off,on
off,off,off
off,off,off
on,off,off
off,on,on
off,on,on
on,on,on
on,off,off
on,off,off
off,off,off
on,on,on
on,on,off
off,off,off
on,off,on
on,on,on
off,on,off
off,off,off
off,on,off
on,off,off
off,on,on
on,on,off
on,on,on
off,on,on
off,on,on
on,on,off
off,off,on
on,off,on
on,on,off
on,on,on
on,off,off
off,off,off
off,on,on
on,off,off
on,off,on
off,off,off
off,off,off
off,off,on
off,off,on
off,on,on
on,on,on
off,off,off
on,on,on
on,on,off
off,on,off
off,on,off
off,off,off
off,on,on
on,on,off
off,on,off
off,off,off
on,off,off
on,off,off
off,on,on
off,off,on
off,off,off
off,off,off
on,on,on
off,on,on
off,off,on
off,on,off
on,on,off
on,off,off
off,off,on
off,on,on
off,on,on
off,off,off
on,off,off
off,off,off
off,off,on
off,on,on
off,off,off
on,on,on
off,off,off
on,off,off
off,off,off
on,off,on
on,off,off
on,off,on
off,off,off
on,off,off
on,on,off
on,on,off
off,off,off
on,off,off
on,on,on
off,off,on
on,off,off
off,on,on
off,on,off
on,on,off
off,off,off
on,on,off
on,off,off
on,on,on
off,off,off
off,off,off
off,off,off
off,off,on
on,on,off
off,off,off
on,off,off
off,off,off
on,off,off
on,off,off
on,on,on
on,off,off
off,off,off
on,on,on
on,off,off
off,off,on
on,off,off
on,off,off
on,on,on
off,on,on
off,on,off
on,on,on
off,off,off
on,off,off
off,off,on
on,off,off
on,off,on
off,on,off
on,on,on
on,off,off
on,off,off
on,on,on
on,on,on
on,on,on
on,on,on
off,on,on
on,on,on
on,on,on
off,on,on
on,on,on
off,off,off
on,off,off
off,on,on
off,off,off
off,off,off
on,on,on
on,on,on
off,on,off
off,off,on
on,off,on
on,on,on
off,off,off
off,on,on
off,on,off
on,on,off
on,on,on
on,off,off
off,off,off
on,off,off
off,on,on
off,on,off
off,off,off
off,off,off
on,off,on
on,off,off
on,off,off
off,on,on
on,on,on
on,off,on
on,on,off
off,off,off
on,off,off
off,off,off
on,off,off
on,on,on
on,on,off
on,on,off
off,off,off
off,off,on
on,off,off
on,off,on
off,on,on
on,off,off
off,off,off
off,off,off
off,on,off
off,on,on
off,off,off
on,off,off
on,off,off
off,off,off
on,off,off
on,off,off
off,on,on
off,on,on
on,on,on
on,off,off
off,off,off
off,on,on
on,on,on
off,off,on
off,off,on
off,off,off
on,off,off
on,on,off
off,off,off
off,off,off
off,off,off
on,off,off
on,on,on
on,on,on
on,on,on
on,off,off
off,on,off
on,off,off
on,on,on
on,on,on
on,off,off
off,off,off
off,on,on
on,off,off
off,on,off
off,on,off
off,off,off
off,off,off
on,off,off
off,off,off
on,off,off
on,on,on
off,off,off
off,on,on
on,off,off
on,off,off
off,on,on
on,on,off
off,off,off
on,on,on
on,on,on
off,off,on
off,off,off
on,on,on
on,off,off
on,off,off
off,on,on
on,on,off
off,off,on
on,on,off
off,on,on
off,off,off
on,on,on
off,on,off
on,off,off
off,off,on
off,off,off
off,off,on
on,off,off
off,on,off
off,on,off
off,off,on
off,on,off
on,on,off
on,off,off
on,off,on
off,off,on
on,off,off
on,off,off
on,on,on
off,off,off
on,on,on
on,on,off
off,on,off
off,on,on
off,on,on
on,on,on
off,off,off
on,off,off
off,on,off
on,off,off
off,off,off
on,on,off
off,on,on
on,on,off
on,on,off
on,off,on
on,on,off
on,off,on
on,on,off
off,off,off
on,off,off
on,off,off
off,off,off
off,on,on
on,off,off
off,off,off
off,off,on
on,on,on
on,on,on
on,on,on
off,off,off
on,on,off
off,off,off
off,on,on
on,off,off
on,on,on
off,on,on
on,off,off
off,on,off
on,on,on
off,off,off
off,on,on
off,on,off
on,on,on
off,on,on
on,off,off
on,off,on
on,on,on
off,off,off
on,on,on
off,on,on
on,on,on
off,off,off
off,on,on
on,off,off
off,on,off
on,on,on
off,off,off
on,on,on
off,off,off
off,off,off
off,off,off
on,off,off
off,off,off
on,off,off
on,off,off
off,on,on
off,on,on
off,off,off
on,on,off
on,on,on
off,on,off
on,on,on
off,off,off
off,on,on
on,on,on
on,on,on
off,off,off
off,off,off
off,off,off
off,off,on
on,on,off
on,off,off
on,on,on
off,off,off
off,off,on
off,off,off
off,off,off
on,off,on
off,on,on
off,off,on
off,off,off
on,on,on
off,off,off
off,on,on
on,off,off
off,off,off
on,on,on
on,off,off
on,on,off
off,off,off
off,off,off
on,on,on
off,on,off
off,off,on
off,off,off
off,on,on
on,off,off
off,off,off
off,off,off
off,off,on
on,off,on
off,off,off
off,on,off
on,on,on
on,on,on
on,off,off
on,on,off
off,off,off
off,off,off
off,off,off
off,off,off
on,on,on
off,on,on
off,off,off
off,on,on
on,off,off
on,off,off
off,on,off
on,off,off
on,off,off
on,on,on
on,off,off
on,on,on
off,off,off
off,on,on
off,off,off
off,off,off
on,off,off
on,on,on
off,off,off
on,off,off
off,off,off
on,on,on
off,off,off
on,off,off
off,off,on
off,on,on
off,on,on
off,off,off
on,off,off
on,off,off
off,on,on
off,on,on
on,on,off
off,off,off
off,off,on
on,on,on
off,off,on
on,on,on
on,off,on
off,off,off
on,on,on
on,on,off
off,off,off
off,off,off
off,off,off
on,off,on
on,on,off
on,off,off
on,off,off
on,off,off
off,off,on
on,off,off
on,on,off
off,on,on
on,on,off
on,on,on
off,on,on
off,off,off
on,off,off
off,on,on
off,off,off
on,on,off
on,on,on
off,off,off
on,on,off
on,off,on
on,off,off
on,on,on
on,on,off
off,off,off
off,on,on
on,off,off
on,off,off
off,off,off
on,off,off
off,off,off
on,on,off
off,off,off
off,off,off
off,off,on
off,on,off
off,off,off
off,off,off
off,off,on
off,on,on
off,on,off
on,off,off
on,off,off
off,on,off
on,off,off
off,off,on
on,off,off
off,on,on
off,off,on
off,off,on
on,on,on
on,on,off
on,off,off
on,off,off
off,on,on
on,on,off
off,off,off
on,off,off
off,on,on
off,on,off
on,on,on
off,on,on
off,off,off
on,off,off
off,on,on
on,on,off
off,on,off
off,off,off
off,off,off
on,on,off
on,on,on
off,on,on
on,on,off
off,off,on
off,off,off
off,on,off
on,on,off
off,on,on
off,off,off
off,off,off
off,on,on
off,on,on
on,off,off
on,on,on
on,on,off
on,on,on
on,on,off
off,off,off
on,off,off
on,on,off
on,off,off
off,off,off
off,on,off
off,off,on
off,off,on
off,on,on
off,off,off
on,off,off
on,on,on
off,off,off
on,on,on
off,on,off
off,off,off
on,off,off
on,on,off
off,off,on
on,on,off
on,on,on
off,on,off
off,off,off
off,on,off
off,off,on
on,on,off
off,off,off
on,off,off
off,on,on
off,off,off
off,on,on
on,off,on
off,on,on
on,on,off
off,off,off
on,on,on
on,on,on
on,off,off
on,off,off
off,on,on
on,off,off
off,off,off
on,off,off
on,off,off
on,off,off
off,off,off
on,off,off
off,on,on
off,on,on
off,off,off
off,off,off
on,off,off
off,on,off
off,off,on
off,on,on
off,off,off
on,off,off
off,on,on
on,on,on
on,on,on
off,off,off
off,on,on
on,off,on
off,off,off
off,on,on
off,off,on
on,off,off
on,on,on
on,on,on
on,off,off
off,off,off
off,off,on
off,on,on
on,on,off
off,off,off
on,on,on
off,on,on
off,on,on
off,on,on
on,off,off
off,off,off
on,off,on
off,on,on
off,on,on
off,off,off
on,off,off
off,on,on
on,on,on
on,off,on
off,off,off
on,on,off
off,off,off
off,on,on
off,on,off
off,off,off
on,off,off
on,off,off
off,off,on
off,on,on
off,on,off
on,on,on
on,on,on
off,on,off
on,on,on
off,off,off
on,on,on
off,off,off
on,off,off
on,on,on
on,on,off
on,on,off
off,off,on
on,on,on
on,off,off
on,off,on
off,off,off
on,off,on
off,off,off
off,off,off
off,on,on
on,on,off
on,off,off
off,on,off
on,off,on
off,on,on
on,on,off
on,on,on
on,off,on
off,off,off
on,off,off
off,on,on
on,off,on
off,off,off
on,off,on
off,off,off
off,off,off
on,off,off
off,off,off
off,off,off
on,off,off
off,off,off
off,off,off
off,on,on
on,off,off
off,on,off
on,on,on
off,off,on
on,on,on
off,on,on
off,off,off
off,on,on
on,off,off
on,off,off
off,off,off
on,on,off
on,off,off
off,off,on
off,off,off
off,on,on
on,on,on
on,off,off
off,on,on
off,off,off
on,off,on
on,on,on
on,on,off
on,on,on
on,on,off
on,off,off
off,on,off
on,on,off
on,on,on
on,off,off
off,off,off
off,off,off
off,off,off
off,on,on
off,on,off
off,on,on
on,on,on
off,on,off
on,off,off
on,on,on
on,on,on
off,on,on
off,on,on
on,on,on
on,off,off
on,on,on
on,on,off
off,off,off
on,off,off
on,on,on
on,on,on
on,off,on
on,off,off
off,off,off
off,on,on
off,off,off
off,off,off
on,off,off
on,on,off
on,off,off
on,on,on
on,off,off
off,on,on
on,off,on
off,off,off
off,off,on
off,off,off
off,on,off
off,on,on
off,off,off
off,off,off
on,on,on
off,on,on
off,on,on
off,off,off
on,on,on
off,off,off
on,on,off
on,on,on
off,off,off
off,off,off
off,on,off
off,on,on
off,off,off
on,off,off
off,on,on
off,off,off
on,off,off
on,off,on
on,off,off
off,on,on
off,off,off
off,on,off
on,on,on
off,off,off
off,off,off
on,off,off
on,off,off
off,off,off
on,on,off
off,off,off
on,on,off
off,on,on
off,on,on
on,off,on
on,off,off
off,off,on
off,off,off
on,off,off
off,off,off
on,on,on
on,off,off
on,off,off
off,off,on
off,off,off
off,off,off
off,off,off
off,off,off
off,on,on
off,off,off
on,off,off
off,off,off
off,on,off
off,off,off
off,off,off
on,on,off
off,on,on
on,off,off
off,off,off
on,on,on
on,off,off
off,on,on
on,on,on
off,off,off
off,off,on
on,on,off
on,on,on
off,off,on
on,on,on
off,off,off
on,on,on
on,on,off
on,on,off
off,off,off
on,off,off
on,off,off
on,on,on
on,off,on
off,off,off
off,off,off
off,off,on
on,on,on
on,on,off
on,off,on
on,off,off
on,off,on
off,off,off
off,off,off
on,on,on
off,on,on
off,off,off
on,on,on
off,on,on
on,off,off
off,on,off
on,on,on
off,off,off
off,off,off
off,off,off
off,on,on
on,on,on
on,off,off
on,on,on
on,on,on
on,off,off
off,off,off
off,on,on
off,off,on
on,off,off
off,off,off
off,off,on
off,off,off
off,off,off
on,on,off
off,off,off
off,off,on
on,off,off
on,off,off
on,on,on
off,off,off
off,on,on
off,on,on
on,off,off
on,off,off
on,on,on
on,on,on
on,on,on
on,off,on
off,on,on
off,off,off
off,off,off
off,off,off
on,on,on
on,on,off
on,off,off
off,off,off
off,off,on
on,off,off
on,on,on
on,off,off
on,off,off
on,on,on
off,off,off
off,off,on
off,on,on
off,off,off
off,off,on
off,on,on
off,on,off
off,on,on
on,off,off
off,off,on
off,on,on
off,off,on
on,on,on
on,off,off
off,on,on
off,off,on
off,off,off
on,on,off
on,off,on
off,off,on
off,off,off
on,on,on
on,off,off
off,off,off
off,off,on
off,on,on
on,on,on
off,on,off
on,off,on
off,on,on
on,on,on
off,on,off
off,off,off
off,off,on
on,on,on
off,off,on
on,on,on
off,off,off
off,on,on
off,on,off
on,off,off
on,on,on
off,on,off
off,on,on
off,on,on
on,on,on
off,off,off
on,off,off
on,off,off
off,on,off
off,off,off
on,off,off
on,on,off
on,on,on
off,off,on
on,on,off
off,off,on
off,off,off
off,off,on
off,off,off
on,off,on
on,off,off
off,off,on
on,on,on
on,off,off
off,on,off
off,on,on
off,off,off
on,off,off
off,off,off
off,on,off
off,off,off
on,off,on
on,off,on
on,on,on
on,on,on
on,off,on
off,on,on
off,off,off
on,on,off
off,off,on
on,on,off
off,on,on
on,off,off
on,off,off
on,off,off
off,on,on
off,on,on
on,on,on
off,off,off
off,on,on
off,off,off
on,on,on
off,on,on
off,off,off
on,on,on
on,off,off
off,off,off
on,on,on
on,on,on
off,off,on
on,on,off
off,off,off
on,on,on
off,off,off
on,off,off
on,on,off
on,off,off
on,off,off
off,off,off
on,off,off
off,off,off
on,on,on
off,on,on
off,off,off
off,off,off
off,off,off
off,off,off
on,on,on
on,on,on
on,on,on
on,on,on
off,off,off
off,on,on
off,on,on
on,off,off
on,on,off
off,on,on
on,off,off
on,off,on
off,off,off
off,off,off
off,off,off
off,off,on
on,off,off
off,on,off
on,on,on
off,off,off
off,off,on
off,on,off
off,off,on
on,on,on
on,off,off
on,off,off
off,off,off
on,on,off
on,on,on
on,on,on
off,off,off
on,on,on
off,off,off
off,on,on
off,on,on
off,off,off
on,off,on
off,off,off
off,off,on
off,on,on
off,on,on
off,on,on
on,on,on
off,off,off
off,off,on
on,on,off
off,off,off
on,on,off
on,on,on
off,off,on
on,on,off
on,off,off
off,off,on
off,on,on
on,on,on
off,on,on
on,off,off
off,off,on
off,on,on
off,on,on
off,on,on
off,off,on
off,off,off
on,off,off
off,on,off
off,on,on
off,off,off
on,off,off
off,on,on
on,off,off
off,off,off
on,on,on
on,on,on
on,on,on
off,off,on
off,on,off
on,on,on
off,off,on
off,off,on
on,off,off
off,off,off
off,on,off
on,on,on
off,off,off
on,off,off
off,off,off
off,off,off
on,on,on
on,on,off
off,on,on
off,off,off
on,on,on
on,on,on
on,on,on
on,off,off
on,on,on
off,on,on
on,off,off
off,on,off
on,off,off
on,off,on
on,on,on
on,off,off
off,on,on
on,on,on
off,off,off
on,off,off
on,off,off
on,off,off
off,on,off
off,off,on
on,off,off
off,off,off
on,on,off
on,on,off
off,off,off
on,on,on
off,off,off
on,on,on
off,off,off
off,on,on
on,on,on
off,on,on
on,on,on
off,on,on
on,off,off
off,off,on
off,off,on
on,off,off
on,on,on
on,off,off
off,off,off
on,off,off
on,off,off
on,on,off
on,on,on
off,on,on
on,off,off
off,on,on
on,off,off
off,on,on
off,off,off
on,on,off
on,on,off
on,off,off
on,on,on
on,off,off
on,on,on
on,off,off
on,off,off
off,off,off
off,off,off
on,on,off
on,off,on
on,off,on
off,on,on
on,on,off
on,off,off
off,on,on
off,off,off
on,off,off
on,off,off
on,on,on
off,off,on
on,off,on
off,off,off
on,off,off
on,off,off
on,off,on
off,on,on
on,off,on
off,on,on
on,off,on
off,off,off
on,off,on
on,on,on
on,on,on
off,off,off
off,off,off
off,off,on
off,on,on
on,off,off
on,on,off
off,off,off
on,on,on
off,off,off
off,on,on
on,off,off
on,off,off
on,on,on
off,off,on
off,on,on
on,off,off
on,off,on
off,on,on
on,on,off
on,off,off
on,off,off
on,off,off
off,off,on
off,off,off
on,on,on
on,on,on
off,off,off
off,on,on
on,on,on
on,off,off
off,off,off
off,off,off
on,on,on
off,on,on
off,off,off
off,off,off
off,off,off
on,on,on
off,off,off
on,on,on
on,on,on
off,on,on
on,off,off
off,off,on
off,on,off
off,off,on
on,off,off
on,off,off
on,off,on
on,on,on
on,on,off
off,off,on
off,off,off
on,on,on
off,off,on
off,off,on
on,on,on
on,on,off
off,on,on
off,on,on
off,off,off
on,on,on
off,on,on
on,on,on
off,on,on
off,off,off
on,on,on
off,off,on
off,off,off
on,off,off
on,off,on
off,on,on
off,off,off
off,off,off
off,on,on
off,on,on
on,on,on
on,on,on
off,off,off
off,off,off
off,off,off
off,on,on
off,off,off
off,on,on
on,on,off
off,off,off
on,on,on
off,on,on
off,off,off
on,off,off
on,off,off
on,off,off
on,off,off
on,on,off
on,off,off
off,on,on
off,off,on
on,on,off
on,on,off
on,on,on
on,on,off
on,off,off
off,on,on
on,off,off
on,off,off
on,off,off
off,off,off
off,on,on
off,off,off
off,off,off
on,on,on
on,on,off
off,off,off
on,on,on
on,off,off
on,off,off
on,off,off
off,off,on
off,off,off
off,on,on
off,off,off
on,off,off
off,off,off
off,off,on
off,off,off
on,on,on
off,off,off
on,off,off
off,on,on
on,on,off
off,on,on
off,off,off
on,off,off
off,on,on
off,on,off
off,on,on
off,off,off
off,on,on
on,on,on
off,off,off
on,off,off
off,off,off
on,on,on
on,on,on
off,off,off
on,off,off
on,off,on
on,on,off
off,off,off
off,off,off
on,off,off
on,off,off
on,on,on
off,on,on
off,off,off
off,on,on
on,off,off
on,on,off
off,on,off
off,on,on
on,off,off
off,off,off
off,off,on
on,off,on
on,off,on
on,on,on
on,off,off
on,on,on
off,off,on
off,on,on
on,off,off
on,on,off
on,on,off
off,on,off
on,on,on
on,off,off
off,off,off
off,off,off
off,off,off
on,on,off
on,off,off
off,off,off
on,on,off
off,on,on
on,on,off
off,on,off
off,on,on
off,off,off
on,on,off
off,off,off
on,off,on
off,off,off
on,on,on
off,off,on
off,off,off
off,off,on
on,off,on
off,on,off
off,off,off
on,on,off
on,on,on
off,off,on
off,on,on
off,off,off
off,off,off
on,on,on
on,on,on
on,off,off
off,on,on
on,off,off
off,on,on
off,off,off
on,off,off
on,off,off
on,off,off
off,on,on
off,on,on
off,on,on
on,off,off
off,off,off
off,off,on
off,on,off
on,off,off
on,off,off
on,off,off
on,off,off
off,off,on
on,off,off
on,on,on
off,on,on
on,off,off
off,on,off
off,off,off
off,off,off
on,off,off
off,off,off
on,off,off
on,off,off
off,off,off
off,off,off
off,on,on
on,off,off
off,off,on
off,on,on
off,off,off
on,on,on
off,off,on
off,off,off
off,off,on
off,on,on
off,off,off
off,on,on
off,off,off
on,on,on
on,on,off
off,on,on
on,on,on
off,off,on
off,on,on
off,on,on
off,on,on
off,off,off
off,off,off
off,on,on
on,off,off
on,on,on
off,off,off
on,on,off
off,off,off
on,off,off
on,on,on
on,on,on
on,on,on
off,off,off
off,on,on
on,on,on
off,on,off
on,on,off
off,on,on
on,on,on
off,off,off
off,off,on
on,on,on
on,on,off
off,on,on
on,on,on
off,off,on
on,on,off
on,off,off
on,on,on
on,on,off
off,on,off
off,off,off
on,on,on
off,off,on
off,off,off
off,on,on
off,off,off
off,off,off
off,on,on
off,off,off
off,off,off
on,on,on
off,off,off
on,on,on
on,off,off
on,off,off
on,off,off
off,on,on
off,on,on
off,off,on
off,off,off
off,on,off
off,on,on
on,on,on
on,on,off
on,off,off
on,off,off
on,off,off
off,off,off
off,off,off
off,off,off
off,on,off
on,off,off
on,on,on
off,on,on
off,on,on
on,on,off
off,off,on
off,off,off
on,on,off
on,off,off
on,off,off
off,on,on
off,off,off
off,off,off
on,off,off
on,on,off
on,on,on
on,off,off
on,off,off
on,on,on
on,on,on
off,off,off
off,on,off
off,off,off
on,off,off
on,on,on
on,on,on
on,off,on
on,on,on
on,off,off
on,on,on
off,on,on
on,on,off
on,off,on
on,off,off
off,on,on
on,off,off
on,off,off
on,on,on
off,on,off
on,on,on
on,on,on
on,on,on
off,off,off
on,off,off
on,off,on
on,off,off
off,off,off
on,on,on
off,off,off
on,on,off
on,off,off
on,off,off
on,on,on
on,off,off
off,off,on
on,on,off
off,off,off
off,off,on
off,on,on
off,off,off
on,on,on
off,on,on
on,on,on
on,on,on
off,off,off
on,off,off
off,off,off
on,on,on
on,off,off
off,off,on
off,on,on
on,on,on
off,off,off
off,on,on
off,off,off
on,off,off
off,on,off
on,on,on
on,on,off
on,off,on
on,off,off
on,on,on
off,on,on
off,on,on
on,on,off
on,on,on
off,off,off
off,on,on
on,on,off
off,off,off
on,on,off
off,off,off
off,off,off
off,off,off
off,off,off
off,on,off
on,off,off
on,off,on
off,off,off
on,on,on
on,on,on
off,off,off
on,off,off
on,off,off
off,off,off
off,off,off
off,on,on
on,off,on
on,off,on
off,off,off
off,off,off
on,on,off
on,off,off
off,off,on
on,on,off
on,on,off
on,off,off
off,on,on
on,off,off
on,on,off
on,off,off
off,off,on
on,off,off
off,on,on
on,on,on
off,off,on
off,on,off
off,off,off
on,on,on
on,on,off
off,off,off
on,on,on
on,off,off
off,off,off
on,on,on
on,off,on
off,off,off
off,on,off
off,on,on
off,off,off
off,on,on
on,on,off
on,on,on
off,off,off
off,off,off
off,on,on
on,off,off
off,on,off
off,off,off
on,on,on
on,off,off
off,on,on
off,off,off
on,on,on
off,off,on
on,off,off
on,off,off
off,off,off
on,on,off
off,off,off
on,on,on
off,on,on
on,on,off
off,off,off
off,off,off
on,on,on
off,off,off
off,off,off
on,on,on
on,on,on
on,on,on
on,off,off
off,off,off
off,on,off
off,on,on
on,on,on
off,on,on
off,off,off
on,off,off
off,off,off
on,on,on
on,off,off
on,on,on
off,off,on
off,off,off
off,off,on
off,on,on
off,on,on
off,off,off
on,on,off
off,off,off
on,on,on
on,off,off
off,on,off
on,on,on
on,on,on
on,on,on
on,on,on
on,on,on
off,on,on
off,off,off
off,on,on
off,off,off
on,off,off
off,off,off
off,on,on
on,off,on
off,off,on
on,on,off
on,on,on
off,off,off
off,on,on
off,off,off
off,off,off
on,on,off
on,off,off
on,off,off
off,on,on
on,off,off
on,on,off
on,off,off
on,off,off
off,on,on
on,off,off
off,on,on
off,off,off
on,on,on
off,off,on
off,off,on
on,on,on
off,off,off
off,off,off
on,on,off
on,off,off
off,off,on
on,off,on
on,on,off
on,off,on
on,on,off
off,off,off
on,on,on
off,on,on
on,off,off
off,off,off
off,on,on
on,on,on
off,off,off
off,on,off
off,off,off
off,on,on
off,on,on
on,on,off
on,on,on
on,on,on
off,off,off
on,off,off
on,on,on
off,off,off
on,off,off
off,on,off
on,on,off
on,off,on
off,off,off
on,off,off
off,on,off
on,on,on
off,off,off
off,off,off
on,on,on
off,off,off
on,on,on
on,on,on
on,on,off
on,on,on
off,off,off
on,off,off
off,off,on
on,on,on
on,off,off
on,off,on
off,on,on
off,off,off
on,off,on
on,off,off
off,off,off
off,off,off
off,off,off
off,off,off
off,off,off
off,off,off
off,off,off
off,off,off
on,off,off
on,off,off
on,on,on
off,off,off
on,on,on
off,off,off
on,off,off
on,on,on
on,on,off
off,on,on
off,off,off
off,on,on
off,on,off
off,on,off
off,off,on
off,off,on
on,off,off
off,off,off
on,on,on
off,on,on
off,on,on
on,on,on
on,off,off
on,on,off
off,off,off
off,off,on
off,off,off
on,off,off
on,off,off
on,off,off
off,off,off
off,off,off
off,off,off
off,off,off
on,off,off
on,on,on
on,off,on
off,off,on
off,off,off
off,on,on
off,off,off
off,off,off
off,on,off
on,on,off
off,on,on
on,on,on
off,on,on
off,on,on
off,on,off
on,off,off
on,on,on
off,off,off
on,off,off
on,off,off
off,on,on
on,off,off
off,off,off
on,off,off
on,off,off
off,off,off
off,off,off
off,off,off
on,off,off
on,off,off
off,off,off
on,on,on
on,off,off
off,off,off
on,on,on
on,off,off
on,on,on
on,off,off
on,on,on
off,off,off
off,on,on
on,on,on
off,off,off
off,off,off
on,on,off
on,off,off
off,off,on
on,on,on
on,on,off
off,off,off
on,on,off
off,on,on
on,off,on
off,off,off
off,on,on
off,off,off
off,off,off
on,off,off
on,on,on
on,on,on
off,off,off
on,on,on
off,on,off
on,on,on
off,off,on
on,on,on
on,on,off
on,on,on
on,on,on
off,on,on
on,off,on
on,off,off
off,on,off
on,on,on
on,on,off
on,on,off
on,on,off
off,off,off
on,on,on
off,off,off
on,off,on
off,on,off
on,on,on
on,on,on
off,on,on
on,on,off
off,off,on
off,on,on
on,on,on
on,on,off
off,off,off
on,off,off
off,off,on
off,off,off
off,on,off
on,off,on
on,on,on
on,off,off
on,on,on
